name,link
"Brood, bakkerij",
,/producten/brood-bakkerij.html
"Ontbijtgranen, broodbeleg, tussendoortjes",
,/producten/ontbijtgranen-broodbeleg-tussendoortjes.html
"Zuivel, eieren, boter",
,/producten/zuivel-eieren-boter.html
"Kaas, vleeswaren, tapas",
,/producten/kaas-vleeswaren-tapas.html
Wijn,
,/producten/wijn.html
"Vlees, vis, vega",
,/producten/vlees-vis-vega.html
"Maaltijden, salades",
,/producten/maaltijden-salades.html
"Aardappels, groente, fruit",
,/producten/aardappels-groente-fruit.html
"Pasta, rijst, bakken, internationale keuken",
,/producten/pasta-rijst-bakken-internationale-keuken.html
"Soepen, sauzen, smaakmakers, conserven",
,/producten/soepen-sauzen-smaakmakers-conserven.html
"Snoep, koeken",
,/producten/snoep-koeken.html
"Chips, noten",
,/producten/chips-noten.html
Diepvries,
,/producten/diepvries.html
Bier en likeuren,
,/producten/bier-en-likeuren.html
"Sappen, frisdrank",
,/producten/sappen-frisdrank.html
"Thee, koffie",
,/producten/thee-koffie.html
Huishouden,
,/producten/huishouden.html
"Baby, persoonlijke verzorging",
,/producten/baby-persoonlijke-verzorging.html
Huisdieren,
,/producten/huisdieren.html
Trots van ALDI,
,/producten/trotsvanaldi.html
Prijsverlagingen,
,/producten/Prijsverlagingen.html
Sinterklaas,
,/producten/sint.html
Disney Kitchen assortiment,
,/producten/disneykitchen.html
Cadeaukaarten,
,/producten/cadeaukaarten.html
ALDI Fotoservice,
,http://www.aldifoto.nl/
ALDI TALK,
,https://www.alditalk.nl/
Feestassortiment,
,/producten/feestassortiment.html
Baby,
,/producten/baby-persoonlijke-verzorging/baby.html
Gezichtsverzorging,
,/producten/baby-persoonlijke-verzorging/gezichtsverzorging.html
Lichaamsverzorging,
,/producten/baby-persoonlijke-verzorging/lichaamsverzorging.html
Haarverzorging,
,/producten/baby-persoonlijke-verzorging/haarverzorging.html
Handverzorging,
,/producten/baby-persoonlijke-verzorging/handverzorging.html
Scheren en ontharen,
,/producten/baby-persoonlijke-verzorging/scheren-en-ontharen.html
Gezondheid,
,/producten/baby-persoonlijke-verzorging/gezondheid.html
"Maandverband, inlegkruisjes, tampons",
,/producten/baby-persoonlijke-verzorging/maandverband-inlegkruisjes-tampons.html
Mondhygiëne,
,/producten/baby-persoonlijke-verzorging/mondhygiene.html
Kat,
,/producten/huisdieren/kat.html
Hond,
,/producten/huisdieren/hond.html
"Zakdoekjes, tissues",
,/producten/baby-persoonlijke-verzorging/zakdoekjes-tissues.html
"Wasmiddelen, wasverzachters",
,/producten/huishouden/wasmiddelen-wasverzachters.html
"Schoonmaakmiddelen, schoonmaakartikelen",
,/producten/huishouden/schoonmaakmiddelen-schoonmaakartikelen.html
"Folie, huishoudzakken",
,/producten/huishouden/folie--huishoudzakken.html
Afwassen en vaatwasmiddelen,
,/producten/huishouden/afwassen-vaatwasmiddelen.html
Toiletpapier en keukenpapier,
,/producten/huishouden/toiletpapier-keukenpapier.html
Tassen en overig,
,/producten/huishouden/tassen-overig.html
Bier,
,/producten/bier-en-likeuren/bier.html
"Mixdranken, aperitieven en likeuren",
,/producten/bier-en-likeuren/mixdranken-aperitieven-likeuren.html
Chips,
,/producten/chips-noten/chips.html
"Noten, zaden en pitten",
,/producten/chips-noten/noten-zaden-en-pitten.html
Zoutjes,
,/producten/chips-noten/zoutjes.html
IJs,
,/producten/diepvries/ijs.html
"Gebak, brood, bladerdeeg",
,/producten/diepvries/gebak-brood-bladerdeeg.html
"Frites, aardappelproducten",
,/producten/diepvries/frites-aardappelproducten.html
